Data type,Month,Region,Scenario,Sub-Technology,To D,Value
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,0:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,0:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,0:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,0:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,1:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,1:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,1:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,1:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,2:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,2:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,2:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,2:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,3:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,3:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,3:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,3:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,4:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,4:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,4:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,4:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,5:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,5:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,5:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,5:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,6:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,6:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,6:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,6:30,0.066
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,7:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,7:00,0.454
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,7:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,7:30,1.044
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,8:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,8:00,1.648
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,8:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,8:30,2.276
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,9:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,9:00,2.789
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,9:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,9:30,3.215
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,10:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,10:00,3.521
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,10:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,10:30,3.691
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,11:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,11:00,3.779
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,11:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,11:30,3.769
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,12:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,12:00,3.723
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,12:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,12:30,3.578
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,13:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,13:00,3.265
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,13:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,13:30,2.958
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,14:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,14:00,2.488
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,14:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,14:30,1.914
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,15:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,15:00,1.292
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,15:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,15:30,0.646
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,16:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,16:00,0.17
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,16:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,16:30,0.008
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,17:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,17:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,17:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,17:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,18:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,18:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,18:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,18:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,19:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,19:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,19:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,19:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,20:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,20:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,20:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,20:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,21:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,21:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,21:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,21:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,22:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,22:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,22:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,22:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,23:00,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,23:00,0
Curtailment (GWh),11,Chubu,2025_Historical data,Solar,23:30,0
Generation (GWh),11,Chubu,2025_Historical data,Solar,23:30,0
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,0:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,0:00,0.041
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,0:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,0:30,0.043
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,1:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,1:00,0.041
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,1:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,1:30,0.039
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,2:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,2:00,0.038
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,2:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,2:30,0.037
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,3:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,3:00,0.033
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,3:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,3:30,0.031
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,4:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,4:00,0.034
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,4:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,4:30,0.034
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,5:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,5:00,0.04
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,5:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,5:30,0.044
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,6:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,6:00,0.039
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,6:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,6:30,0.042
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,7:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,7:00,0.038
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,7:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,7:30,0.035
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,8:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,8:00,0.027
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,8:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,8:30,0.021
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,9:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,9:00,0.024
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,9:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,9:30,0.019
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,10:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,10:00,0.015
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,10:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,10:30,0.018
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,11:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,11:00,0.02
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,11:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,11:30,0.02
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,12:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,12:00,0.018
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,12:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,12:30,0.018
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,13:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,13:00,0.017
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,13:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,13:30,0.019
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,14:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,14:00,0.016
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,14:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,14:30,0.013
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,15:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,15:00,0.015
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,15:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,15:30,0.016
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,16:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,16:00,0.017
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,16:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,16:30,0.018
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,17:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,17:00,0.032
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,17:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,17:30,0.041
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,18:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,18:00,0.033
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,18:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,18:30,0.027
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,19:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,19:00,0.029
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,19:30,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,19:30,0.03
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,20:00,0
Generation (GWh),11,Chubu,2025_Historical data,Wind,20:00,0.024
Curtailment (GWh),11,Chubu,2025_Historical data,Wind,20:30,0
